fakeid,date_obs,mjd_obs,expnum,exptime,ra,dec,band,ccdnum
405109,2013-11-19T01:19:11.568816,56615.05499501,255871,150.00000000,0.6352325593865402,-0.10866484594114945,r,24
405109,2013-11-19T01:22:12.941918,56615.05709423,255872,200.00000000,0.6352318149864276,-0.10866498882312917,i,24
405109,2013-11-19T01:26:04.843528,56615.05977828,255873,200.00000000,0.6352308632210932,-0.108665171487435,z,24
405109,2013-11-19T01:29:56.306036,56615.06245725,255874,200.00000000,0.6352299132761426,-0.10866535378014283,z,24
405109,2013-12-02T02:09:46.355511,56628.09011986,259324,175.00000000,0.6308756019105876,-0.10923896809752459,g,30
405109,2013-12-02T02:13:10.585340,56628.09248363,259325,150.00000000,0.6308748690936044,-0.10923901397975744,r,30
405109,2013-12-02T02:16:11.098073,56628.09457289,259326,200.00000000,0.6308742213983093,-0.10923905451578085,i,30
405109,2013-12-02T02:20:00.629783,56628.09722951,259327,200.00000000,0.6308733978458779,-0.10923910603522888,z,30
405109,2013-12-09T01:37:36.871766,56635.06778787,261937,175.00000000,0.6288246678507753,-0.10928024469117725,g,29
405109,2013-12-09T01:41:01.604783,56635.07015746,261938,150.00000000,0.6288240118642014,-0.10928022667968465,r,29
405109,2013-12-09T01:44:00.888006,56635.07223250,261939,200.00000000,0.6288234374453057,-0.10928021088932073,i,29
405109,2013-12-09T01:47:53.958204,56635.07493007,261940,200.00000000,0.6288226907275362,-0.10928019033678217,z,29
405109,2013-12-09T01:51:43.199262,56635.07758332,261941,200.00000000,0.6288219563143408,-0.10928017009445637,z,29
405109,2013-12-27T01:07:59.935872,56653.04722148,268287,175.00000000,0.624773540295708,-0.10852769631235214,g,22
405109,2013-12-27T01:11:23.092346,56653.04957283,268288,150.00000000,0.6247731429045549,-0.10852751885276656,r,22
405109,2013-12-27T01:14:22.177506,56653.05164557,268289,200.00000000,0.6247727926299478,-0.1085273624030353,i,22
405109,2013-12-27T01:18:12.956866,56653.05431663,268290,200.00000000,0.6247723412889945,-0.1085271607698778,z,22
405109,2013-12-27T01:22:02.032427,56653.05696797,268291,200.00000000,0.6247718933279635,-0.10852696059960751,z,22
405109,2014-01-03T02:27:55.810590,56660.10272929,270941,175.00000000,0.6237540614829713,-0.10790582899195061,g,22
405109,2014-01-03T02:31:20.379958,56660.10509699,270942,150.00000000,0.6237537788357722,-0.10790559083341988,r,22
405109,2014-01-03T02:34:19.002117,56660.10716438,270943,200.00000000,0.6237535320723434,-0.1079053828666639,i,22
405109,2014-01-03T02:38:07.858317,56660.10981318,270944,200.00000000,0.6237532159568413,-0.10790511639170744,z,22
405109,2014-01-03T02:41:56.881472,56660.11246391,270945,200.00000000,0.6237528996617594,-0.1079048496981099,z,22
405109,2014-01-10T01:47:27.023762,56667.07461833,272771,175.00000000,0.6231007880120634,-0.10712290738717396,g,22
405109,2014-01-10T01:50:51.430142,56667.07698415,272772,150.00000000,0.6231006278052347,-0.10712261477073055,r,22
405109,2014-01-10T01:53:51.207947,56667.07906491,272773,200.00000000,0.623100486936242,-0.10712235739647999,i,22
405109,2014-01-10T01:57:39.829465,56667.08171099,272774,200.00000000,0.6231003078416789,-0.10712203007656525,z,22
405109,2014-01-10T02:01:29.522005,56667.08436947,272775,200.00000000,0.6231001279611386,-0.10712170120091064,z,22
405109,2014-01-25T02:17:11.143741,56682.09526787,277611,175.00000000,0.62294338346507,-0.10493127125461904,g,16
405109,2014-01-25T02:20:35.600373,56682.09763426,277612,150.00000000,0.6229434955423466,-0.10493087721138704,r,16
405109,2014-01-25T02:23:36.385901,56682.09972669,277613,200.00000000,0.6229435946799856,-0.10493052877702612,i,16
405109,2014-01-25T02:27:27.083410,56682.10239680,277614,200.00000000,0.6229437212372572,-0.10493008412951811,z,16
405109,2014-01-25T02:31:18.648445,56682.10507695,277615,200.00000000,0.6229438483260541,-0.10492963779187744,z,16
405109,2014-02-02T00:50:45.509990,56690.03524896,280301,175.00000000,0.6235638539161981,-0.10353406605649428,g,16
405109,2014-02-02T00:54:12.867174,56690.03764893,280302,150.00000000,0.62356411514575,-0.10353362242746476,r,16
